419,438
1109,588
905,1148
608,143
146,934
89,55
300,730
448,659
1283,676
187,1252
908,1118
391,369
233,74
1045,1133
692,639
1315,798
278,507
1317,495
466,496
52,1385
910,1010
62,69
130,1055
645,982
925,816
756,13
508,224
376,236
971,1178
676,862
465,424
1375,423
543,1225
601,592
514,594
1252,774
921,977
424,612
1081,461
1050,246
519,98
1077,1296
341,164
209,1069
113,1234
803,164
1250,645
381,1304
293,1289
1304,71
423,571
144,190
803,1291
471,787
71,716
348,819
1194,226
1125,501
528,939
250,446
785,1321
1004,894
823,727
990,827
1303,682
1299,77
226,730
112,1041
1116,897
1195,1346
804,827
1005,1229
382,295
868,1148
1277,621
172,1110
981,1048
1150,164
152,966
1273,103
294,1245
985,600
3,848
485,672
956,1163
1349,753
74,411
28,708
1050,161
1138,533
44,1257
357,37
67,1310
10,1198
252,1129
278,1212
1186,1377
490,1313
1057,477
734,1289
0,0
1322,848
548,824
359,259
473,553
504,402
1360,1008
844,736
200,466
676,964
542,468
1400,1400
