43,21
27,40
44,6
36,21
23,10
13,43
4,22
38,2
35,2
32,1
48,7
0,45
18,2
13,28
17,21
2,14
10,30
4,4
45,26
27,48
37,45
27,33
14,0
15,30
3,10
27,27
22,37
39,20
38,6
39,2
29,35
0,9
22,33
1,46
4,30
17,0
34,24
15,18
3,30
8,4
12,2
16,40
15,13
4,20
7,48
6,42
19,40
49,49
44,31
6,3
43,6
49,20
30,49
41,48
40,43
1,25
37,35
10,49
35,34
37,42
3,14
47,15
37,44
11,24
43,49
24,49
24,47
14,13
25,3
31,42
33,10
17,25
4,37
47,38
43,25
6,36
34,13
9,39
12,14
23,26
20,36
16,17
8,26
10,21
24,4
20,30
40,28
44,20
9,25
49,12
38,16
43,17
49,47
35,28
3,25
38,9
34,47
38,15
44,16
49,35
0,0
15,4
39,14
8,34
30,39
35,26
12,40
37,46
23,15
48,39
45,13
26,10
16,15
28,29
26,26
38,20
50,50
